Round,kT,Magnetization
1,3,0.001464
1,2.99,0.011672
1,2.98,0.003982
1,2.97,0.024552
1,2.96,0.032508
1,2.95,0.02528
1,2.94,0.011514
1,2.93,0.024236
1,2.92,0.018484
1,2.91,0.006748
1,2.9,0.03698
1,2.89,0.001498
1,2.88,0.00756
1,2.87,0.00234
1,2.86,0.01332
1,2.85,0.006462
1,2.84,0.001066
1,2.83,0.013678
1,2.82,0.035922
1,2.81,0.027812
1,2.8,0.032054
1,2.79,0.04001
1,2.78,0.004834
1,2.77,0.081844
1,2.76,0.020504
1,2.75,0.002216
1,2.74,0.044868
1,2.73,0.018174
1,2.72,0.008012
1,2.71,0.048574
1,2.7,0.064848
1,2.69,0.022516
1,2.68,0.01251
1,2.67,0.023736
1,2.66,0.083926
1,2.65,0.0531
1,2.64,0.002468
1,2.63,0.064152
1,2.62,0.047726
1,2.61,0.032662
1,2.6,0.01704
1,2.59,0.085252
1,2.58,0.022642
1,2.57,0.00385
1,2.56,0.094876
1,2.55,0.07589
1,2.54,0.062558
1,2.53,0.03463
1,2.52,0.27202
1,2.51,0.129906
1,2.5,0.185154
1,2.49,0.194914
1,2.48,0.129342
1,2.47,0.045676
1,2.46,0.19308
1,2.45,0.275016
1,2.44,0.086534
1,2.43,0.20476
1,2.42,0.131634
1,2.41,0.003928
1,2.4,0.448936
1,2.39,0.241276
1,2.38,0.303846
1,2.37,0.55776
1,2.36,0.367022
1,2.35,0.140124
1,2.34,0.221878
1,2.33,0.298566
1,2.32,0.007272
1,2.31,0.591588
1,2.3,0.17801
1,2.29,0.71016
1,2.28,0.713474
1,2.27,0.745978
1,2.26,0.737278
1,2.25,0.616912
1,2.24,0.681794
1,2.23,0.737016
1,2.22,0.714284
1,2.21,0.78769
1,2.2,0.786704
1,2.19,0.797312
1,2.18,0.828722
1,2.17,0.837412
1,2.16,0.837294
1,2.15,0.831214
1,2.14,0.860128
1,2.13,0.856046
1,2.12,0.867586
1,2.11,0.871472
1,2.1,0.87586
1,2.09,0.875872
1,2.08,0.883406
1,2.07,0.887992
1,2.06,0.89455
1,2.05,0.887318
1,2.04,0.898408
1,2.03,0.898872
1,2.02,0.906394
1,2.01,0.90257
1,2,0.91287
1,1.99,0.912002
1,1.98,0.917456
1,1.97,0.919404
1,1.96,0.92255
1,1.95,0.92482
1,1.94,0.928982
1,1.93,0.931338
1,1.92,0.933562
1,1.91,0.934998
1,1.9,0.938832
1,1.89,0.940302
1,1.88,0.943576
1,1.87,0.944126
1,1.86,0.946988
1,1.85,0.948976
1,1.84,0.949038
1,1.83,0.95008
1,1.82,0.954234
1,1.81,0.954914
1,1.8,0.95568
1,1.79,0.957394
1,1.78,0.960446
1,1.77,0.961972
1,1.76,0.962934
1,1.75,0.964784
1,1.74,0.962224
1,1.73,0.965436
1,1.72,0.968836
1,1.71,0.96863
1,1.7,0.970908
1,1.69,0.970904
1,1.68,0.971164
1,1.67,0.97287
1,1.66,0.975304
1,1.65,0.97527
1,1.64,0.97592
1,1.63,0.976908
1,1.62,0.97778
1,1.61,0.978928
1,1.6,0.979106
1,1.59,0.980246
1,1.58,0.981266
1,1.57,0.981424
1,1.56,0.982716
1,1.55,0.983084
1,1.54,0.984456
1,1.53,0.984874
1,1.52,0.985298
1,1.51,0.985876
1,1.5,0.98593
1,1.49,0.986928
1,1.48,0.987766
1,1.47,0.98803
1,1.46,0.988468
1,1.45,0.989094
1,1.44,0.989506
1,1.43,0.98984
1,1.42,0.990522
1,1.41,0.990828
1,1.4,0.991504
1,1.39,0.991982
1,1.38,0.991776
1,1.37,0.992516
1,1.36,0.992844
1,1.35,0.993316
1,1.34,0.993526
1,1.33,0.993814
1,1.32,0.994292
1,1.31,0.994496
1,1.3,0.994748
1,1.29,0.995286
1,1.28,0.995216
1,1.27,0.995398
1,1.26,0.995788
1,1.25,0.995944
1,1.24,0.996302
1,1.23,0.996444
1,1.22,0.996604
1,1.21,0.99689
1,1.2,0.99711
1,1.19,0.99723
1,1.18,0.99735
1,1.17,0.997422
1,1.16,0.997586
1,1.15,0.99781
1,1.14,0.997996
1,1.13,0.99808
1,1.12,0.998194
1,1.11,0.998334
1,1.1,0.998462
1,1.09,0.99844
1,1.08,0.998662
1,1.07,0.998662
1,1.06,0.998882
1,1.05,0.998986
1,1.04,0.99902
1,1.03,0.999124
1,1.02,0.999094
1,1.01,0.999158
1,1,0.99927
2,1,0.99932
2,1.01,0.9992
2,1.02,0.999126
2,1.03,0.999112
2,1.04,0.998974
2,1.05,0.998904
2,1.06,0.998822
2,1.07,0.998754
2,1.08,0.998738
2,1.09,0.998676
2,1.1,0.998426
2,1.11,0.998292
2,1.12,0.998198
2,1.13,0.99821
2,1.14,0.997942
2,1.15,0.997734
2,1.16,0.99772
2,1.17,0.997542
2,1.18,0.997438
2,1.19,0.997214
2,1.2,0.997044
2,1.21,0.996864
2,1.22,0.996702
2,1.23,0.996344
2,1.24,0.996208
2,1.25,0.995874
2,1.26,0.995782
2,1.27,0.995594
2,1.28,0.995224
2,1.29,0.99488
2,1.3,0.994568
2,1.31,0.994518
2,1.32,0.994236
2,1.33,0.99409
2,1.34,0.993342
2,1.35,0.993384
2,1.36,0.992932
2,1.37,0.992318
2,1.38,0.991948
2,1.39,0.991814
2,1.4,0.991384
2,1.41,0.990696
2,1.42,0.990194
2,1.43,0.99019
2,1.44,0.989688
2,1.45,0.989274
2,1.46,0.989058
2,1.47,0.98828
2,1.48,0.987862
2,1.49,0.987082
2,1.5,0.986574
2,1.51,0.98615
2,1.52,0.985662
2,1.53,0.984914
2,1.54,0.984242
2,1.55,0.983528
2,1.56,0.982526
2,1.57,0.982332
2,1.58,0.98048
2,1.59,0.980504
2,1.6,0.979252
2,1.61,0.978764
2,1.62,0.978788
2,1.63,0.97757
2,1.64,0.976212
2,1.65,0.97481
2,1.66,0.973898
2,1.67,0.97404
2,1.68,0.971132
2,1.69,0.971556
2,1.7,0.969574
2,1.71,0.96919
2,1.72,0.967688
2,1.73,0.96663
2,1.74,0.964366
2,1.75,0.963146
2,1.76,0.963764
2,1.77,0.960932
2,1.78,0.95867
2,1.79,0.958068
2,1.8,0.956954
2,1.81,0.957042
2,1.82,0.952656
2,1.83,0.95267
2,1.84,0.94887
2,1.85,0.94837
2,1.86,0.946992
2,1.87,0.940448
2,1.88,0.939852
2,1.89,0.937778
2,1.9,0.93928
2,1.91,0.936364
2,1.92,0.929718
2,1.93,0.932522
2,1.94,0.925396
2,1.95,0.928696
2,1.96,0.922282
2,1.97,0.920416
2,1.98,0.915116
2,1.99,0.915076
2,2,0.912142
2,2.01,0.904348
2,2.02,0.906106
2,2.03,0.904524
2,2.04,0.899244
2,2.05,0.89721
2,2.06,0.892788
2,2.07,0.887184
2,2.08,0.878414
2,2.09,0.867918
2,2.1,0.87005
2,2.11,0.857748
2,2.12,0.862732
2,2.13,0.844348
2,2.14,0.837142
2,2.15,0.82995
2,2.16,0.84388
2,2.17,0.830188
2,2.18,0.789866
2,2.19,0.817648
2,2.2,0.812958
2,2.21,0.795734
2,2.22,0.749498
2,2.23,0.80012
2,2.24,0.77345
2,2.25,0.756798
2,2.26,0.36171
2,2.27,0.574896
2,2.28,0.702136
2,2.29,0.666492
2,2.3,0.703506
2,2.31,0.6455
2,2.32,0.565962
2,2.33,0.607
2,2.34,0.106708
2,2.35,0.384342
2,2.36,0.247538
2,2.37,0.207802
2,2.38,0.186806
2,2.39,0.159904
2,2.4,0.256036
2,2.41,0.19119
2,2.42,0.260828
2,2.43,0.308156
2,2.44,0.008484
2,2.45,0.012638
2,2.46,0.081702
2,2.47,0.064464
2,2.48,0.071762
2,2.49,0.183084
2,2.5,0.257124
2,2.51,0.049108
2,2.52,0.076716
2,2.53,0.001796
2,2.54,0.025734
2,2.55,0.111308
2,2.56,0.048692
2,2.57,0.045656
2,2.58,0.011066
2,2.59,0.092988
2,2.6,0.016006
2,2.61,0.029146
2,2.62,0.010664
2,2.63,0.035064
2,2.64,0.001828
2,2.65,0.043182
2,2.66,0.030938
2,2.67,0.030478
2,2.68,0.023592
2,2.69,0.028604
2,2.7,0.020184
2,2.71,0.002402
2,2.72,0.02418
2,2.73,0.003432
2,2.74,0.00713
2,2.75,0.009062
2,2.76,0.000506
2,2.77,0.01834
2,2.78,0.021908
2,2.79,0.011898
2,2.8,0.003904
2,2.81,0.019942
2,2.82,0.004474
2,2.83,0.043266
2,2.84,0.006048
2,2.85,0.011974
2,2.86,0.02192
2,2.87,0.046686
2,2.88,0.018542
2,2.89,0.045448
2,2.9,0.006006
2,2.91,0.009042
2,2.92,0.016572
2,2.93,0.000362
2,2.94,0.029956
2,2.95,0.023308
2,2.96,0.034032
2,2.97,0.01139
2,2.98,0.008912
2,2.99,0.017104
2,3,0.00978
